danceability,energy,loudness,major,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cis,D,Dis,E,F,Fis,G,Gis,A,Ais,B,3/4,4/4,5/4,ysrelease,mood
0.638,0.867,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,243373,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43,happy
0.606,0.457,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,244027,0,0,0,0,0,1,0,0,0,0,0,0,1,0,54,happy
0.395,0.566,-7.379,0,0.0387,0.23,0.0,0.2,0.757,203.337,186733,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,happy
0.682,0.765,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,182747,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26,happy
0.635,0.841,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,happy
0.466,0.634,-5.3,1,0.0289,0.0763,0.0,0.0678,0.324,128.992,194240,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,happy
0.608,0.768,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,211160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,36,happy
0.641,0.922,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,happy
0.773,0.758,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,happy
0.654,0.81,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,happy
0.638,0.832,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227893,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,happy
0.77,0.496,-8.45,1,0.0468,0.719,0.0,0.123,0.571,117.331,129293,0,0,0,0,0,0,0,0,0,0,1,1,0,0,56,happy
0.691,0.387,-7.405,1,0.0277,0.291,0.0,0.203,0.485,82.528,156933,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,happy
0.603,0.952,-3.699,1,0.0947,0.00189,0.000445,0.317,0.588,133.97,163627,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,happy
0.451,0.931,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,happy
0.573,0.902,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,0,0,0,0,0,1,0,0,0,0,0,0,1,0,37,happy
0.702,0.898,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,169760,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,happy
0.717,0.733,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996,292307,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20,happy
0.541,0.81,-11.745,1,0.0367,0.000975,0.00158,0.0681,0.647,155.582,251573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,happy
0.575,0.912,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,207267,0,0,0,0,0,0,1,0,0,0,0,0,1,0,49,happy
0.592,0.705,-10.276,0,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,215400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,49,happy
0.61,0.698,-8.616,1,0.028,0.284,3.63e-05,0.34,0.467,102.004,220293,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,happy
0.879,0.604,-9.772,1,0.06,0.349,0.0426,0.0811,0.859,123.133,171503,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,happy
0.62,0.712,-6.434,1,0.1,0.228,3.39e-06,0.0561,0.83,170.234,268600,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,happy
0.421,0.79,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,happy
0.558,0.768,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,260573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,happy
0.741,0.58,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42,happy
0.306,0.86,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,227893,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,happy
0.58,0.981,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,happy
0.385,0.783,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701,134467,0,0,0,0,0,0,0,0,1,0,0,0,1,0,46,happy
0.491,0.454,-9.528,1,0.0379,0.445,0.0,0.214,0.803,75.056,140547,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26,happy
0.479,0.601,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,0,0,0,0,0,0,1,0,0,0,0,0,1,0,49,happy
0.674,0.314,-12.319,1,0.0363,0.832,0.0,0.163,0.743,105.289,137547,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,happy
0.68,0.693,-7.234,1,0.0435,0.445,0.0,0.208,0.851,114.948,163880,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,happy
0.652,0.812,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,happy
0.645,0.713,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,happy
0.774,0.753,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,happy
0.763,0.803,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,happy
0.742,0.784,-5.458,1,0.0552,0.0308,0.0,0.354,0.65,101.002,188200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,happy
0.73,0.703,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,happy
0.661,0.729,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,happy
0.747,0.219,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,129120,0,0,1,0,0,0,0,0,0,0,0,0,1,0,64,happy
